Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Print Placement,Cost per item,Status
kaseem T-Shirt 2,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-2-1-S,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,10,active
kaseem T-Shirt 2,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-2-1-M,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,10,active
kaseem T-Shirt 2,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-2-1-L,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,10,active
kaseem T-Shirt 2,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-2-1-XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,10,active
kaseem T-Shirt 2,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-2-1-XXL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,12,active
kaseem T-Shirt 2,,Merch By MerchBooth,,,,,,,3XL,,,,,kstephTOP-2-1-3XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,13,active
kaseem T-Shirt 2,,Merch By MerchBooth,,,,,,,4XL,,,,,kstephTOP-2-1-4XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,14,active
kaseem T-Shirt 2,,Merch By MerchBooth,,,,,,,5XL,,,,,kstephTOP-2-1-5XL,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,15,active
kaseem Long Sleeve T 2,kaseem - one - White Long Sleeve T,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Long-Sleeve",TRUE,Size,XS,,,,,kstephTOP-2-2-XS,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-2-2-F_mockup.png?v=1680020833,1,,FALSE,,,,,,,,,,,,,,,,,oz,,White Long Sleeve 1 Placement,14,active
kaseem Long Sleeve T 2,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-2-2-S,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,14,active
kaseem Long Sleeve T 2,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-2-2-M,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,14,active
kaseem Long Sleeve T 2,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-2-2-L,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,14,active
kaseem Long Sleeve T 2,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-2-2-XL,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,14,active
kaseem Long Sleeve T 2,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-2-2-XXL,226.796,shopify,continue,axelrad,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,16,active
kaseem Tank Top 2,kaseem - one - White Tank Top,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Tank-Top",TRUE,Size,XS,,,,,kstephTOP-2-3-XS,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-2-3-F_mockup.png?v=1680020833,1,,FALSE,,,,,,,,,,,,,,,,,oz,,White Tank Top 1 Placement,11,active
kaseem Tank Top 2,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-2-3-S,170.097,shopify,continue,axelrad,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,11,active
